source target similarity
HINFP ZNF143 0.0011760214211
MAZ EN1 0.0390815200621
HBP1 SREBF2 0.0037141434974
NR3C1 SREBF2 0.00449697620065
HINFP MXD4 0.00373806753424
FBXO5 E2F3 0.00455344688414
PRDM1 EN1 0.0363827265124
SP1 SRF 0.00524287170876
TBX5 RELB 0.00464260102849
NFE2L2 CEBPB 0.00643080080459
SP1 NGFR 0.540450706769
ZNF217 RELA 0.00104718076771
MAFG HIF1A 0.00363468302153
ATF6 ETV6 0.0037916286873
RARA SOX8 0.0227231368638
SP1 DLX5 0.0660155131605
TP73 ZNF263 0.00187091043526
TCF3 E4F1 0.00908181898816
TFCP2L1 PAX3 0.0237452333772
ETV7 E2F3 0.00590170672968
STAT3 TCF7L2 0.00974497044634
ETV4 PATZ1 0.00347549874644
HSF2 MEF2A 0.00285921481011
IRF1 NR3C1 0.00389177570013
IRF1 ATF6 0.00426758992039
POU4F1 SMAD7 0.00477680399346
GLI3 GTF2IRD1 0.00565040702757
EGR3 HOXD3 0.0243037192954
ATF1 MAFG 0.00336542955093
E2F3 MAZ 0.00360337172258
SATB1 VDR 0.00473533517309
STAT3 HAMP 1.84360287818
NFYA FOXM1 0.0133865368797
SP1 ZNF384 0.00412010546294
TCF3 ZNF354C 0.0336267621351
ESRRA NFYC 0.00271710624169
STAT3 ZNF148 0.00231251897828
VDR NHLH1 0.017167536839
RFX4 STAT5A 0.00427893852387
NFIB EGR3 0.0056077796849
GBX2 FOS 0.0046150899407
EGR3 ETV6 0.00547807137378
LTF CEBPB 0.00396787725892
TCF3 ZNF143 0.00203495399783
GADD45B SMAD1 0.00358685807646
FOS SRF 0.00406101751315
CEBPB NFE2L2 0.00274434274834
THRB SOX15 0.0104760979146
GABPA TSHR 3.06429242083
JUNB EGR2 0.00673390895977
ELK3 ELF1 0.00539844336266
SP1 HOXB3 0.0269089681861
TRIM28 DEAF1 0.00438987026912
DEAF1 ZNF354C 0.0327800577306
EGR3 NR3C1 0.00471152586637
VDR RARA 0.00801521216705
FOXJ1 SREBF2 0.00381814897574
CAPN2 CTNNB1 0.00170674808988
E2F1 ELF1 0.00738617597619
EGR3 GTF2IRD1 0.00665620304653
VDR IRF2 0.00465611846258
DDIT3 BACH1 0.00475892718031
ELF1 NR3C1 0.00361718378546
NUP155 RBPJ 0.00197518144084
ZNF384 EGR1 0.00428362605873
VDR IRF8 0.00892934533757
EBF1 GLI3 0.00777974732689
BHLHE41 VDR 0.00795631869521
NHLH1 SRF 0.00362369852624
SMAD7 MXD3 0.00722284009222
RELA NR3C1 0.00371675394569
EGR1 MAFG 0.00448727647384
NKX2-5 REST 0.00416099683159
HBP1 EGR2 0.00492101071756
MAZ TCF3 0.00572020665012
TBX5 FOXO1 0.00246515862906
EGR1 NFIB 0.00670380006996
CEBPD PTGS2 0.170282954421
SOX12 TFAP4 0.00537233667897
MAFG GTF2IRD1 0.00495741924511
DDIT3 EGR2 0.00553186945089
CD14 CTNNB1 0.0015744844343
RBPJ TAGLN 0.132142753309
MAFG STAT1 0.0037265775332
HSD11B1 CEBPB 0.0038250062383
TCF7L2 AKT1 0.254878170369
SATB1 ATF6 0.00366215463134
STAT3 MBD1 0.262653977725
EGR1 GATA2 0.00837933787346
CRMP1 SP1 0.000566118556436
SPI1 DLX2 0.0284212020112
TCF3 SREBF2 0.00645131301297
GTF2A2 IRF5 0.00400453254079
ESRRA EGR1 0.0048040723332
IRF5 SREBF2 0.00469659650793
SREBF2 SMAD7 0.00714488256971
HSF1 CREB1 0.00118562798973
SOX4 MEIS2 0.00849725109631
FOXO1 RPS6KA3 0.492249105758
ZNF148 RELA 0.00187038351135
MYCN GLI3 0.00715317536721
NHLH1 ARX 0.0289247340877
EGR2 SPI1 0.00693199479955
SOX9 NFYA 0.00235644358237
TFAP4 TCF3 0.00470909241086
MAD1L1 DEAF1 0.00301488664069
CEBPB CREB1 0.00134819138041
FOXO1 SOX11 0.0182213113981
BHLHE41 HSF1 0.00433493870613
CEBPD RARA 0.00630016091713
EGR3 E2F3 0.00861920205137
TBX5 NKX2-5 0.0378973818199
NR3C1 CREB1 0.00129213192017
GABPA NRF1 0.00239889654079
IKZF1 CREM 0.00777410449604
RBPJ NFKBIA 0.213211639516
SOX13 MEF2A 0.00268936361054
ASCL1 STAT1 0.00371434510404
IL8 STAT2 0.00409607048012
PATZ1 E2F1 0.00953596499829
DDIT3 TFAP4 0.00605345586333
EGR2 ARX 0.0319404993852
MYCN NHLH1 0.0138271100618
ZNF384 EGR2 0.00489892371568
RELA SREBF2 0.00488337126794
DDIT3 POU2F1 0.00614765399237
FOS CEBPB 0.00676935503256
SRF CEBPB 0.0056356650592
STAT5A IKZF1 0.00715728439469
NFYC STAT2 0.0052007305918
SREBF2 SQLE 0.22256951216
HOXD3 MAFB 0.00939552342213
ZNF263 THRB 0.00953898859521
